transitNr;orderNr;driverName;customerName;transitType;transitTypeShort;Status;countAllOrders;statusGreater30min;statusSerialSet;statusDateTime;statusHrsMin;distanceKm;statusGreater1km;DivisionCity;latCust;lonCust;latApp;lonApp
T991978759;250318395; Chris Schmidt;Customer 562;delivery;D;delivered;26;1;NULL;17.11.2020 10:46;10:30;04.lut;1;Cracow;50.1125412;19.80290985;50.11279105;19.83526949
T991978759;250920368; Chris Schmidt;Customer 1737;delivery;D;delivered;26;1;1;17.11.2020 11:45;11:30;0.03;NULL;Cracow;50.13177872;19.62158203;50.13160866;19.62181916
